Date,Open,High,Low,Close,Volume
05/12/2023,96.83,97.45,93.68,95.26,53829711
05/11/2023,98.16,99.19,96.14,97.1,57061031
05/10/2023,96.42,99.94,96.12,97.02,95619508
05/09/2023,94.89,96.16,93.43,95.06,68674789
05/08/2023,89.99,95.66,89.17,95.04,95503219
05/05/2023,84.99,90.43,84.72,89.84,78491109
05/04/2023,81.57,91.64,81.11,86.61,122840492
05/03/2023,83.54,85.48,81.02,81.62,109482203
05/02/2023,89.32,90.46,88.12,89.91,70483516
05/01/2023,91.03,91.04,88.61,89.69,59358711
04/28/2023,87.02,89.75,86.44,89.37,50686047
04/27/2023,86.41,87.57,84.09,87.44,53087207
04/26/2023,86.51,87.35,85.32,85.94,47786559
04/25/2023,86.9,87.06,83.76,83.8,52771480
04/24/2023,88.11,88.64,86.34,87.57,40423793
04/21/2023,89.8,89.8,88.06,88.43,41118262
04/20/2023,88.83,91.58,88.73,90.11,47082680
04/19/2023,88.51,90.54,88.22,89.94,37344500
04/18/2023,91.61,92.16,89.33,89.78,46246289
04/17/2023,90.23,90.69,88.3,89.87,47250781
04/14/2023,91.82,92.97,90.5,91.75,38734793
